"","X","State","Management","Year","Specialisation","Seats","censuscode","ST_CEN_CD","UG_PG","st_new"
"3023",3023,"KARNATAKA","Public",2018,"Anatomy",22,556,17,"PG","Karnataka"
"3024",3024,"KERALA","Public",2018,"Anatomy",16,598,18,"PG","Kerala"
"3025",3025,"MADHYA PRADESH","Public",2018,"Anatomy",12,465,20,"PG","Madhya Pradesh"
"3026",3026,"MAHARASHTRA","Public",2018,"Anatomy",47,522,21,"PG","Maharashtra"
"3027",3027,"MANIPUR","Public",2018,"Anatomy",8,275,22,"PG","Manipur"
"3028",3028,"MEGHALAYA","Public",2018,"Anatomy",2,294,23,"PG","Meghalaya"
"3029",3029,"ODISHA","Public",2018,"Anatomy",17,384,26,"PG","Odisha"
"3030",3030,"PUDUCHERRY","Public",2018,"Anatomy",7,636,27,"PG","Puducherry"
"3031",3031,"PUNJAB","Public",2018,"Anatomy",17,49,28,"PG","Punjab"
"3032",3032,"RAJASTHAN","Public",2018,"Anatomy",20,119,29,"PG","Rajasthan"
"3033",3033,"TAMIL NADU","Public",2018,"Anatomy",17,616,31,"PG","Tamil Nadu"
"3034",3034,"TELANGANA","Public",2018,"Anatomy",14,532,32,"PG","Telangana"
"3035",3035,"TRIPURA","Public",2018,"Anatomy",0,291,33,"PG","Tripura"
"3036",3036,"UTTAR PRADESH","Public",2018,"Anatomy",26,146,34,"PG","Uttar Pradesh"
"3037",3037,"UTTARAKHAND","Public",2018,"Anatomy",8,64,35,"PG","Uttarakhand"
"3038",3038,"WEST BENGAL","Public",2018,"Anatomy",32,339,36,"PG","West Bengal"
"3039",3039,"ASSAM","Both",2001,"Anatomy",14,324,4,"PG","Assam"
"3040",3040,"BIHAR","Both",2001,"Anatomy",10,209,5,"PG","Bihar"
"3041",3041,"CHANDIGARH","Both",2001,"Anatomy",2,55,6,"PG","Chandigarh"
"3042",3042,"CHHATTISGARH","Both",2001,"Anatomy",1,414,7,"PG","Chhattisgarh"
"3043",3043,"GOA","Both",2001,"Anatomy",0,585,11,"PG","Goa"
"3044",3044,"GUJARAT","Both",2001,"Anatomy",10,474,12,"PG","Gujarat"
"3045",3045,"HARYANA","Both",2001,"Anatomy",6,70,13,"PG","Haryana"
"3046",3046,"HIMACHAL PRADESH","Both",2001,"Anatomy",0,30,14,"PG","Himachal Pradesh"
"3047",3047,"JAMMU & KASHMIR","Both",2001,"Anatomy",3,14,15,"PG","Jammu & Kashmir"
"3048",3048,"JHARKHAND","Both",2001,"Anatomy",3,355,16,"PG","Jharkhand"
"3049",3049,"KARNATAKA","Both",2001,"Anatomy",31,556,17,"PG","Karnataka"
"3050",3050,"KERALA","Both",2001,"Anatomy",7,598,18,"PG","Kerala"
"3051",3051,"MADHYA PRADESH","Both",2001,"Anatomy",19,465,20,"PG","Madhya Pradesh"
"3052",3052,"MAHARASHTRA","Both",2001,"Anatomy",38,522,21,"PG","Maharashtra"
"3053",3053,"MANIPUR","Both",2001,"Anatomy",6,275,22,"PG","Manipur"
"3054",3054,"MEGHALAYA","Both",2001,"Anatomy",0,294,23,"PG","Meghalaya"
"3055",3055,"NCT OF DELHI","Both",2001,"Anatomy",28,95,10,"PG","NCT of Delhi"
"3056",3056,"ODISHA","Both",2001,"Anatomy",0,384,26,"PG","Odisha"
"3057",3057,"PUDUCHERRY","Both",2001,"Anatomy",0,636,27,"PG","Puducherry"
"3058",3058,"PUNJAB","Both",2001,"Anatomy",14,49,28,"PG","Punjab"
"3059",3059,"RAJASTHAN","Both",2001,"Anatomy",7,119,29,"PG","Rajasthan"
"3060",3060,"SIKKIM","Both",2001,"Anatomy",0,244,30,"PG","Sikkim"
"3061",3061,"TAMIL NADU","Both",2001,"Anatomy",17,616,31,"PG","Tamil Nadu"
"3062",3062,"UTTAR PRADESH","Both",2001,"Anatomy",15,146,34,"PG","Uttar Pradesh"
"3063",3063,"UTTARAKHAND","Both",2001,"Anatomy",2,64,35,"PG","Uttarakhand"
"3064",3064,"WEST BENGAL","Both",2001,"Anatomy",9,339,36,"PG","West Bengal"
"3065",3065,"ANDAMAN & NICOBAR ISLAND","Both",2018,"Anatomy",0,638,1,"PG","Andaman & Nicobar Island"
"3066",3066,"ANDHRA PRADESH","Both",2018,"Anatomy",37,553,2,"PG","Andhra Pradesh"
"3067",3067,"ASSAM","Both",2018,"Anatomy",18,324,4,"PG","Assam"
"3068",3068,"BIHAR","Both",2018,"Anatomy",29,209,5,"PG","Bihar"
"3069",3069,"CHANDIGARH","Both",2018,"Anatomy",3,55,6,"PG","Chandigarh"
"3070",3070,"CHHATTISGARH","Both",2018,"Anatomy",4,414,7,"PG","Chhattisgarh"
"3071",3071,"GOA","Both",2018,"Anatomy",4,585,11,"PG","Goa"
"3072",3072,"GUJARAT","Both",2018,"Anatomy",55,474,12,"PG","Gujarat"
"3073",3073,"HARYANA","Both",2018,"Anatomy",18,70,13,"PG","Haryana"
"3074",3074,"HIMACHAL PRADESH","Both",2018,"Anatomy",4,30,14,"PG","Himachal Pradesh"
"3075",3075,"JAMMU & KASHMIR","Both",2018,"Anatomy",9,14,15,"PG","Jammu & Kashmir"
"3076",3076,"JHARKHAND","Both",2018,"Anatomy",7,355,16,"PG","Jharkhand"
"3077",3077,"KARNATAKA","Both",2018,"Anatomy",121,556,17,"PG","Karnataka"
"3078",3078,"KERALA","Both",2018,"Anatomy",28,598,18,"PG","Kerala"
"3079",3079,"MADHYA PRADESH","Both",2018,"Anatomy",25,465,20,"PG","Madhya Pradesh"
"3080",3080,"MAHARASHTRA","Both",2018,"Anatomy",99,522,21,"PG","Maharashtra"
"3081",3081,"MANIPUR","Both",2018,"Anatomy",8,275,22,"PG","Manipur"
"3082",3082,"MEGHALAYA","Both",2018,"Anatomy",2,294,23,"PG","Meghalaya"
"3083",3083,"NCT OF DELHI","Both",2018,"Anatomy",48,95,10,"PG","NCT of Delhi"
"3084",3084,"ODISHA","Both",2018,"Anatomy",23,384,26,"PG","Odisha"
"3085",3085,"PUDUCHERRY","Both",2018,"Anatomy",20,636,27,"PG","Puducherry"
"3086",3086,"PUNJAB","Both",2018,"Anatomy",27,49,28,"PG","Punjab"
"3087",3087,"RAJASTHAN","Both",2018,"Anatomy",29,119,29,"PG","Rajasthan"
"3088",3088,"SIKKIM","Both",2018,"Anatomy",0,244,30,"PG","Sikkim"
"3089",3089,"TAMIL NADU","Both",2018,"Anatomy",58,616,31,"PG","Tamil Nadu"
"3090",3090,"TELANGANA","Both",2018,"Anatomy",44,532,32,"PG","Telangana"
"3091",3091,"TRIPURA","Both",2018,"Anatomy",0,291,33,"PG","Tripura"
"3092",3092,"UTTAR PRADESH","Both",2018,"Anatomy",56,146,34,"PG","Uttar Pradesh"
"3093",3093,"UTTARAKHAND","Both",2018,"Anatomy",13,64,35,"PG","Uttarakhand"
"3094",3094,"WEST BENGAL","Both",2018,"Anatomy",37,339,36,"PG","West Bengal"
"3095",3095,"ANDHRA PRADESH","Private",2001,"Anatomy",0,553,2,"PG","Andhra Pradesh"
"3096",3096,"TELANGANA","Private",2001,"Anatomy",0,NA,NA,"PG","Telangana"
"3097",3097,"ANDHRA PRADESH","Public",2001,"Anatomy",18,553,2,"PG","Andhra Pradesh"
"3098",3098,"TELANGANA","Public",2001,"Anatomy",18,NA,NA,"PG","Telangana"
"3099",3099,"ANDHRA PRADESH","Both",2001,"Anatomy",18,553,2,"PG","Andhra Pradesh"
"3100",3100,"TELANGANA","Both",2001,"Anatomy",18,NA,NA,"PG","Telangana"
"3101",3101,"GUJARAT","Private",2001,"General",8,474,12,"PG","Gujarat"
"3102",3102,"HARYANA","Private",2001,"General",2,70,13,"PG","Haryana"
"3103",3103,"JAMMU & KASHMIR","Private",2001,"General",0,14,15,"PG","Jammu & Kashmir"
"3104",3104,"KARNATAKA","Private",2001,"General",158,556,17,"PG","Karnataka"
"3105",3105,"KERALA","Private",2001,"General",0,598,18,"PG","Kerala"
"3106",3106,"MADHYA PRADESH","Private",2001,"General",11,465,20,"PG","Madhya Pradesh"
"3107",3107,"MAHARASHTRA","Private",2001,"General",39,522,21,"PG","Maharashtra"
"3108",3108,"ODISHA","Private",2001,"General",0,384,26,"PG","Odisha"
"3109",3109,"PUDUCHERRY","Private",2001,"General",0,636,27,"PG","Puducherry"
"3110",3110,"PUNJAB","Private",2001,"General",32,49,28,"PG","Punjab"
"3111",3111,"RAJASTHAN","Private",2001,"General",8,119,29,"PG","Rajasthan"
"3112",3112,"SIKKIM","Private",2001,"General",0,244,30,"PG","Sikkim"
"3113",3113,"TAMIL NADU","Private",2001,"General",34,616,31,"PG","Tamil Nadu"
"3114",3114,"UTTAR PRADESH","Private",2001,"General",0,146,34,"PG","Uttar Pradesh"
"3115",3115,"UTTARAKHAND","Private",2001,"General",16,64,35,"PG","Uttarakhand"
"3116",3116,"WEST BENGAL","Private",2001,"General",6,339,36,"PG","West Bengal"
"3117",3117,"ASSAM","Public",2001,"General",42,324,4,"PG","Assam"
"3118",3118,"BIHAR","Public",2001,"General",64,209,5,"PG","Bihar"
"3119",3119,"CHANDIGARH","Public",2001,"General",0,55,6,"PG","Chandigarh"
"3120",3120,"CHHATTISGARH","Public",2001,"General",16,414,7,"PG","Chhattisgarh"
"3121",3121,"NCT OF DELHI","Public",2001,"General",190,95,10,"PG","NCT of Delhi"
"3122",3122,"GOA","Public",2001,"General",8,585,11,"PG","Goa"
"3123",3123,"GUJARAT","Public",2001,"General",54,474,12,"PG","Gujarat"
"3124",3124,"HARYANA","Public",2001,"General",36,70,13,"PG","Haryana"
"3125",3125,"HIMACHAL PRADESH","Public",2001,"General",0,30,14,"PG","Himachal Pradesh"
"3126",3126,"JAMMU & KASHMIR","Public",2001,"General",29,14,15,"PG","Jammu & Kashmir"
"3127",3127,"JHARKHAND","Public",2001,"General",12,355,16,"PG","Jharkhand"
"3128",3128,"KARNATAKA","Public",2001,"General",94,556,17,"PG","Karnataka"
"3129",3129,"KERALA","Public",2001,"General",18,598,18,"PG","Kerala"
"3130",3130,"MADHYA PRADESH","Public",2001,"General",113,465,20,"PG","Madhya Pradesh"
"3131",3131,"MAHARASHTRA","Public",2001,"General",260,522,21,"PG","Maharashtra"
"3132",3132,"MANIPUR","Public",2001,"General",24,275,22,"PG","Manipur"
"3133",3133,"MEGHALAYA","Public",2001,"General",0,294,23,"PG","Meghalaya"
"3134",3134,"ODISHA","Public",2001,"General",0,384,26,"PG","Odisha"
"3135",3135,"PUDUCHERRY","Public",2001,"General",40,636,27,"PG","Puducherry"
"3136",3136,"PUNJAB","Public",2001,"General",50,49,28,"PG","Punjab"
"3137",3137,"RAJASTHAN","Public",2001,"General",138,119,29,"PG","Rajasthan"
"3138",3138,"TAMIL NADU","Public",2001,"General",226,616,31,"PG","Tamil Nadu"
"3139",3139,"UTTAR PRADESH","Public",2001,"General",114,146,34,"PG","Uttar Pradesh"
"3140",3140,"UTTARAKHAND","Public",2001,"General",0,64,35,"PG","Uttarakhand"
"3141",3141,"WEST BENGAL","Public",2001,"General",126,339,36,"PG","West Bengal"
"3142",3142,"ANDHRA PRADESH","Private",2018,"General",204,553,2,"PG","Andhra Pradesh"
"3143",3143,"BIHAR","Private",2018,"General",35,209,5,"PG","Bihar"
"3144",3144,"CHHATTISGARH","Private",2018,"General",0,414,7,"PG","Chhattisgarh"
"3145",3145,"NCT OF DELHI","Private",2018,"General",0,95,10,"PG","NCT of Delhi"
"3146",3146,"GUJARAT","Private",2018,"General",65,474,12,"PG","Gujarat"
"3147",3147,"HARYANA","Private",2018,"General",58,70,13,"PG","Haryana"
"3148",3148,"HIMACHAL PRADESH","Private",2018,"General",0,30,14,"PG","Himachal Pradesh"
"3149",3149,"JAMMU & KASHMIR","Private",2018,"General",8,14,15,"PG","Jammu & Kashmir"
"3150",3150,"KARNATAKA","Private",2018,"General",491,556,17,"PG","Karnataka"
"3151",3151,"KERALA","Private",2018,"General",65,598,18,"PG","Kerala"
"3152",3152,"MADHYA PRADESH","Private",2018,"General",71,465,20,"PG","Madhya Pradesh"
"3153",3153,"MAHARASHTRA","Private",2018,"General",297,522,21,"PG","Maharashtra"
"3154",3154,"ODISHA","Private",2018,"General",52,384,26,"PG","Odisha"
"3155",3155,"PUDUCHERRY","Private",2018,"General",77,636,27,"PG","Puducherry"
"3156",3156,"PUNJAB","Private",2018,"General",64,49,28,"PG","Punjab"
"3157",3157,"RAJASTHAN","Private",2018,"General",47,119,29,"PG","Rajasthan"
"3158",3158,"SIKKIM","Private",2018,"General",2,244,30,"PG","Sikkim"
"3159",3159,"TAMIL NADU","Private",2018,"General",161,616,31,"PG","Tamil Nadu"
"3160",3160,"TELANGANA","Private",2018,"General",146,532,32,"PG","Telangana"
"3161",3161,"TRIPURA","Private",2018,"General",2,291,33,"PG","Tripura"
"3162",3162,"UTTAR PRADESH","Private",2018,"General",110,146,34,"PG","Uttar Pradesh"
"3163",3163,"UTTARAKHAND","Private",2018,"General",39,64,35,"PG","Uttarakhand"
"3164",3164,"WEST BENGAL","Private",2018,"General",17,339,36,"PG","West Bengal"
"3165",3165,"ANDAMAN & NICOBAR ISLAND","Public",2018,"General",0,638,1,"PG","Andaman & Nicobar Island"
"3166",3166,"ANDHRA PRADESH","Public",2018,"General",209,553,2,"PG","Andhra Pradesh"
"3167",3167,"ASSAM","Public",2018,"General",112,324,4,"PG","Assam"
"3168",3168,"BIHAR","Public",2018,"General",118,209,5,"PG","Bihar"
"3169",3169,"CHANDIGARH","Public",2018,"General",132,55,6,"PG","Chandigarh"
"3170",3170,"CHHATTISGARH","Public",2018,"General",31,414,7,"PG","Chhattisgarh"
"3171",3171,"NCT OF DELHI","Public",2018,"General",316,95,10,"PG","NCT of Delhi"
"3172",3172,"GOA","Public",2018,"General",20,585,11,"PG","Goa"
"3173",3173,"GUJARAT","Public",2018,"General",325,474,12,"PG","Gujarat"
"3174",3174,"HARYANA","Public",2018,"General",36,70,13,"PG","Haryana"
"3175",3175,"HIMACHAL PRADESH","Public",2018,"General",42,30,14,"PG","Himachal Pradesh"
"3176",3176,"JAMMU & KASHMIR","Public",2018,"General",107,14,15,"PG","Jammu & Kashmir"
"3177",3177,"JHARKHAND","Public",2018,"General",39,355,16,"PG","Jharkhand"
"3178",3178,"KARNATAKA","Public",2018,"General",178,556,17,"PG","Karnataka"
"3179",3179,"KERALA","Public",2018,"General",143,598,18,"PG","Kerala"
"3180",3180,"MADHYA PRADESH","Public",2018,"General",142,465,20,"PG","Madhya Pradesh"
"3181",3181,"MAHARASHTRA","Public",2018,"General",463,522,21,"PG","Maharashtra"
"3182",3182,"MANIPUR","Public",2018,"General",46,275,22,"PG","Manipur"
"3183",3183,"MEGHALAYA","Public",2018,"General",4,294,23,"PG","Meghalaya"
"3184",3184,"ODISHA","Public",2018,"General",116,384,26,"PG","Odisha"
"3185",3185,"PUDUCHERRY","Public",2018,"General",40,636,27,"PG","Puducherry"
"3186",3186,"PUNJAB","Public",2018,"General",82,49,28,"PG","Punjab"
"3187",3187,"RAJASTHAN","Public",2018,"General",231,119,29,"PG","Rajasthan"
"3188",3188,"TAMIL NADU","Public",2018,"General",446,616,31,"PG","Tamil Nadu"
"3189",3189,"TELANGANA","Public",2018,"General",154,532,32,"PG","Telangana"
"3190",3190,"TRIPURA","Public",2018,"General",6,291,33,"PG","Tripura"
"3191",3191,"UTTAR PRADESH","Public",2018,"General",250,146,34,"PG","Uttar Pradesh"
"3192",3192,"UTTARAKHAND","Public",2018,"General",21,64,35,"PG","Uttarakhand"
"3193",3193,"WEST BENGAL","Public",2018,"General",219,339,36,"PG","West Bengal"
"3194",3194,"ASSAM","Both",2001,"General",42,324,4,"PG","Assam"
"3195",3195,"BIHAR","Both",2001,"General",64,209,5,"PG","Bihar"
"3196",3196,"CHANDIGARH","Both",2001,"General",0,55,6,"PG","Chandigarh"
"3197",3197,"CHHATTISGARH","Both",2001,"General",16,414,7,"PG","Chhattisgarh"
"3198",3198,"GOA","Both",2001,"General",8,585,11,"PG","Goa"
"3199",3199,"GUJARAT","Both",2001,"General",62,474,12,"PG","Gujarat"
"3200",3200,"HARYANA","Both",2001,"General",38,70,13,"PG","Haryana"
"3201",3201,"HIMACHAL PRADESH","Both",2001,"General",0,30,14,"PG","Himachal Pradesh"
"3202",3202,"JAMMU & KASHMIR","Both",2001,"General",29,14,15,"PG","Jammu & Kashmir"
"3203",3203,"JHARKHAND","Both",2001,"General",12,355,16,"PG","Jharkhand"
"3204",3204,"KARNATAKA","Both",2001,"General",252,556,17,"PG","Karnataka"
"3205",3205,"KERALA","Both",2001,"General",18,598,18,"PG","Kerala"
"3206",3206,"MADHYA PRADESH","Both",2001,"General",124,465,20,"PG","Madhya Pradesh"
"3207",3207,"MAHARASHTRA","Both",2001,"General",299,522,21,"PG","Maharashtra"
"3208",3208,"MANIPUR","Both",2001,"General",24,275,22,"PG","Manipur"
"3209",3209,"MEGHALAYA","Both",2001,"General",0,294,23,"PG","Meghalaya"
"3210",3210,"NCT OF DELHI","Both",2001,"General",190,95,10,"PG","NCT of Delhi"
"3211",3211,"ODISHA","Both",2001,"General",0,384,26,"PG","Odisha"
"3212",3212,"PUDUCHERRY","Both",2001,"General",40,636,27,"PG","Puducherry"
"3213",3213,"PUNJAB","Both",2001,"General",82,49,28,"PG","Punjab"
"3214",3214,"RAJASTHAN","Both",2001,"General",146,119,29,"PG","Rajasthan"
"3215",3215,"SIKKIM","Both",2001,"General",0,244,30,"PG","Sikkim"
"3216",3216,"TAMIL NADU","Both",2001,"General",260,616,31,"PG","Tamil Nadu"
"3217",3217,"UTTAR PRADESH","Both",2001,"General",114,146,34,"PG","Uttar Pradesh"
"3218",3218,"UTTARAKHAND","Both",2001,"General",16,64,35,"PG","Uttarakhand"
"3219",3219,"WEST BENGAL","Both",2001,"General",132,339,36,"PG","West Bengal"
"3220",3220,"ANDAMAN & NICOBAR ISLAND","Both",2018,"General",0,638,1,"PG","Andaman & Nicobar Island"
"3221",3221,"ANDHRA PRADESH","Both",2018,"General",413,553,2,"PG","Andhra Pradesh"
"3222",3222,"ASSAM","Both",2018,"General",112,324,4,"PG","Assam"
"3223",3223,"BIHAR","Both",2018,"General",153,209,5,"PG","Bihar"
"3224",3224,"CHANDIGARH","Both",2018,"General",132,55,6,"PG","Chandigarh"
"3225",3225,"CHHATTISGARH","Both",2018,"General",31,414,7,"PG","Chhattisgarh"
"3226",3226,"GOA","Both",2018,"General",20,585,11,"PG","Goa"
"3227",3227,"GUJARAT","Both",2018,"General",390,474,12,"PG","Gujarat"
"3228",3228,"HARYANA","Both",2018,"General",94,70,13,"PG","Haryana"
"3229",3229,"HIMACHAL PRADESH","Both",2018,"General",42,30,14,"PG","Himachal Pradesh"
"3230",3230,"JAMMU & KASHMIR","Both",2018,"General",115,14,15,"PG","Jammu & Kashmir"
"3231",3231,"JHARKHAND","Both",2018,"General",39,355,16,"PG","Jharkhand"
"3232",3232,"KARNATAKA","Both",2018,"General",669,556,17,"PG","Karnataka"
"3233",3233,"KERALA","Both",2018,"General",208,598,18,"PG","Kerala"
"3234",3234,"MADHYA PRADESH","Both",2018,"General",213,465,20,"PG","Madhya Pradesh"
"3235",3235,"MAHARASHTRA","Both",2018,"General",760,522,21,"PG","Maharashtra"
"3236",3236,"MANIPUR","Both",2018,"General",46,275,22,"PG","Manipur"
"3237",3237,"MEGHALAYA","Both",2018,"General",4,294,23,"PG","Meghalaya"
"3238",3238,"NCT OF DELHI","Both",2018,"General",316,95,10,"PG","NCT of Delhi"
"3239",3239,"ODISHA","Both",2018,"General",168,384,26,"PG","Odisha"
"3240",3240,"PUDUCHERRY","Both",2018,"General",117,636,27,"PG","Puducherry"
"3241",3241,"PUNJAB","Both",2018,"General",146,49,28,"PG","Punjab"
"3242",3242,"RAJASTHAN","Both",2018,"General",278,119,29,"PG","Rajasthan"
"3243",3243,"SIKKIM","Both",2018,"General",2,244,30,"PG","Sikkim"
"3244",3244,"TAMIL NADU","Both",2018,"General",607,616,31,"PG","Tamil Nadu"
"3245",3245,"TELANGANA","Both",2018,"General",300,532,32,"PG","Telangana"
"3246",3246,"TRIPURA","Both",2018,"General",8,291,33,"PG","Tripura"
"3247",3247,"UTTAR PRADESH","Both",2018,"General",360,146,34,"PG","Uttar Pradesh"
"3248",3248,"UTTARAKHAND","Both",2018,"General",60,64,35,"PG","Uttarakhand"
"3249",3249,"WEST BENGAL","Both",2018,"General",236,339,36,"PG","West Bengal"
"3250",3250,"ANDHRA PRADESH","Private",2001,"General",5,553,2,"PG","Andhra Pradesh"
"3251",3251,"TELANGANA","Private",2001,"General",5,NA,NA,"PG","Telangana"
"3252",3252,"ANDHRA PRADESH","Public",2001,"General",153,553,2,"PG","Andhra Pradesh"
"3253",3253,"TELANGANA","Public",2001,"General",153,NA,NA,"PG","Telangana"
"3254",3254,"ANDHRA PRADESH","Both",2001,"General",158,553,2,"PG","Andhra Pradesh"
"3255",3255,"TELANGANA","Both",2001,"General",158,NA,NA,"PG","Telangana"
"3256",3256,"GUJARAT","Private",2001,"Paediatrics",1,474,12,"PG","Gujarat"
"3257",3257,"HARYANA","Private",2001,"Paediatrics",0,70,13,"PG","Haryana"
"3258",3258,"JAMMU & KASHMIR","Private",2001,"Paediatrics",0,14,15,"PG","Jammu & Kashmir"
"3259",3259,"KARNATAKA","Private",2001,"Paediatrics",41,556,17,"PG","Karnataka"
"3260",3260,"KERALA","Private",2001,"Paediatrics",1,598,18,"PG","Kerala"
"3261",3261,"MADHYA PRADESH","Private",2001,"Paediatrics",4,465,20,"PG","Madhya Pradesh"
"3262",3262,"MAHARASHTRA","Private",2001,"Paediatrics",1,522,21,"PG","Maharashtra"
"3263",3263,"ODISHA","Private",2001,"Paediatrics",0,384,26,"PG","Odisha"
"3264",3264,"PUDUCHERRY","Private",2001,"Paediatrics",0,636,27,"PG","Puducherry"
"3265",3265,"PUNJAB","Private",2001,"Paediatrics",8,49,28,"PG","Punjab"
"3266",3266,"RAJASTHAN","Private",2001,"Paediatrics",2,119,29,"PG","Rajasthan"
"3267",3267,"SIKKIM","Private",2001,"Paediatrics",0,244,30,"PG","Sikkim"
"3268",3268,"TAMIL NADU","Private",2001,"Paediatrics",12,616,31,"PG","Tamil Nadu"
"3269",3269,"UTTAR PRADESH","Private",2001,"Paediatrics",0,146,34,"PG","Uttar Pradesh"
"3270",3270,"UTTARAKHAND","Private",2001,"Paediatrics",2,64,35,"PG","Uttarakhand"
"3271",3271,"WEST BENGAL","Private",2001,"Paediatrics",2,339,36,"PG","West Bengal"
"3272",3272,"ASSAM","Public",2001,"Paediatrics",12,324,4,"PG","Assam"
"3273",3273,"BIHAR","Public",2001,"Paediatrics",17,209,5,"PG","Bihar"
"3274",3274,"CHANDIGARH","Public",2001,"Paediatrics",0,55,6,"PG","Chandigarh"
"3275",3275,"CHHATTISGARH","Public",2001,"Paediatrics",4,414,7,"PG","Chhattisgarh"
"3276",3276,"NCT OF DELHI","Public",2001,"Paediatrics",69,95,10,"PG","NCT of Delhi"
"3277",3277,"GOA","Public",2001,"Paediatrics",2,585,11,"PG","Goa"
"3278",3278,"GUJARAT","Public",2001,"Paediatrics",0,474,12,"PG","Gujarat"
"3279",3279,"HARYANA","Public",2001,"Paediatrics",5,70,13,"PG","Haryana"
"3280",3280,"HIMACHAL PRADESH","Public",2001,"Paediatrics",2,30,14,"PG","Himachal Pradesh"
"3281",3281,"JAMMU & KASHMIR","Public",2001,"Paediatrics",9,14,15,"PG","Jammu & Kashmir"
"3282",3282,"JHARKHAND","Public",2001,"Paediatrics",4,355,16,"PG","Jharkhand"
"3283",3283,"KARNATAKA","Public",2001,"Paediatrics",19,556,17,"PG","Karnataka"
"3284",3284,"KERALA","Public",2001,"Paediatrics",5,598,18,"PG","Kerala"
"3285",3285,"MADHYA PRADESH","Public",2001,"Paediatrics",28,465,20,"PG","Madhya Pradesh"
"3286",3286,"MAHARASHTRA","Public",2001,"Paediatrics",71,522,21,"PG","Maharashtra"
"3287",3287,"MANIPUR","Public",2001,"Paediatrics",0,275,22,"PG","Manipur"
"3288",3288,"MEGHALAYA","Public",2001,"Paediatrics",0,294,23,"PG","Meghalaya"
"3289",3289,"ODISHA","Public",2001,"Paediatrics",0,384,26,"PG","Odisha"
"3290",3290,"PUDUCHERRY","Public",2001,"Paediatrics",17,636,27,"PG","Puducherry"
"3291",3291,"PUNJAB","Public",2001,"Paediatrics",9,49,28,"PG","Punjab"
"3292",3292,"RAJASTHAN","Public",2001,"Paediatrics",45,119,29,"PG","Rajasthan"
"3293",3293,"TAMIL NADU","Public",2001,"Paediatrics",38,616,31,"PG","Tamil Nadu"
"3294",3294,"UTTAR PRADESH","Public",2001,"Paediatrics",33,146,34,"PG","Uttar Pradesh"
"3295",3295,"UTTARAKHAND","Public",2001,"Paediatrics",0,64,35,"PG","Uttarakhand"
"3296",3296,"WEST BENGAL","Public",2001,"Paediatrics",20,339,36,"PG","West Bengal"
"3297",3297,"ANDHRA PRADESH","Private",2018,"Paediatrics",52,553,2,"PG","Andhra Pradesh"
"3298",3298,"BIHAR","Private",2018,"Paediatrics",10,209,5,"PG","Bihar"
"3299",3299,"CHHATTISGARH","Private",2018,"Paediatrics",0,414,7,"PG","Chhattisgarh"
"3300",3300,"NCT OF DELHI","Private",2018,"Paediatrics",0,95,10,"PG","NCT of Delhi"
"3301",3301,"GUJARAT","Private",2018,"Paediatrics",26,474,12,"PG","Gujarat"
"3302",3302,"HARYANA","Private",2018,"Paediatrics",11,70,13,"PG","Haryana"
"3303",3303,"HIMACHAL PRADESH","Private",2018,"Paediatrics",0,30,14,"PG","Himachal Pradesh"
"3304",3304,"JAMMU & KASHMIR","Private",2018,"Paediatrics",0,14,15,"PG","Jammu & Kashmir"
"3305",3305,"KARNATAKA","Private",2018,"Paediatrics",148,556,17,"PG","Karnataka"
"3306",3306,"KERALA","Private",2018,"Paediatrics",22,598,18,"PG","Kerala"
"3307",3307,"MADHYA PRADESH","Private",2018,"Paediatrics",17,465,20,"PG","Madhya Pradesh"
"3308",3308,"MAHARASHTRA","Private",2018,"Paediatrics",90,522,21,"PG","Maharashtra"
"3309",3309,"ODISHA","Private",2018,"Paediatrics",21,384,26,"PG","Odisha"
"3310",3310,"PUDUCHERRY","Private",2018,"Paediatrics",24,636,27,"PG","Puducherry"
"3311",3311,"PUNJAB","Private",2018,"Paediatrics",14,49,28,"PG","Punjab"
"3312",3312,"RAJASTHAN","Private",2018,"Paediatrics",18,119,29,"PG","Rajasthan"
"3313",3313,"SIKKIM","Private",2018,"Paediatrics",2,244,30,"PG","Sikkim"
"3314",3314,"TAMIL NADU","Private",2018,"Paediatrics",58,616,31,"PG","Tamil Nadu"
"3315",3315,"TELANGANA","Private",2018,"Paediatrics",39,532,32,"PG","Telangana"
"3316",3316,"TRIPURA","Private",2018,"Paediatrics",0,291,33,"PG","Tripura"
"3317",3317,"UTTAR PRADESH","Private",2018,"Paediatrics",37,146,34,"PG","Uttar Pradesh"
"3318",3318,"UTTARAKHAND","Private",2018,"Paediatrics",9,64,35,"PG","Uttarakhand"
"3319",3319,"WEST BENGAL","Private",2018,"Paediatrics",9,339,36,"PG","West Bengal"
"3320",3320,"ANDAMAN & NICOBAR ISLAND","Public",2018,"Paediatrics",0,638,1,"PG","Andaman & Nicobar Island"
"3321",3321,"ANDHRA PRADESH","Public",2018,"Paediatrics",43,553,2,"PG","Andhra Pradesh"
"3322",3322,"ASSAM","Public",2018,"Paediatrics",22,324,4,"PG","Assam"
"3323",3323,"BIHAR","Public",2018,"Paediatrics",32,209,5,"PG","Bihar"
"3324",3324,"CHANDIGARH","Public",2018,"Paediatrics",52,55,6,"PG","Chandigarh"
"3325",3325,"CHHATTISGARH","Public",2018,"Paediatrics",4,414,7,"PG","Chhattisgarh"
